case_id,reported_at,missing_person_name,gender,age_band,state,district,language,last_seen_location,reporting_center,reporter_mobile,physical_description,status,resolution_hours,is_duplicate_report,remarks
KMP-2027-00802,2027-09-02 05:06,Sushila Kale,Female,61-70,Maharashtra,Nashik,Marathi,Sadhugram,Tapovan Center,+91 9041945312,"orange saree, speaks little Hindi",Reunited,7.2,False,Volunteer escorting to help desk.
KMP-2027-01155,2027-08-22 09:19,Savita Yadav,Female,13-17,Maharashtra,Aurangabad,Marathi,Sita Gufa,Kushavarta Center,+91 9955240359,"maroon saree, limps on right leg",Reunited,1.2,False,
KMP-2027-00731,2027-08-20 19:54,Sneha Joshi,Female,61-70,Uttar Pradesh,Kanpur,Hindi,Goda Ghat,Trimbak Gate Center,+91 7342243178,"cream kurta, limps on right leg",Reunited,0.7,False,
KMP-2027-01929,2027-07-26 12:02,Sushila Kulkarni,Female,18-40,Maharashtra,Jalgaon,Marathi,Trimbakeshwar Temple,Kushavarta Center,+91 9988847835,"red sari with gold border, limps on right leg",Reunited,5.3,False,Announced on PA system.
KMP-2027-02195,2027-09-12 21:36,Vitthal Sawant,Male,18-40,Maharashtra,Pune,Marathi,Ahilyadevi Holkar Bridge,Tapovan Center,+91 9415974076,"black shawl, tulsi mala around neck",Reunited,5.3,False,Announced on PA system.
KMP-2027-01427,2027-09-11 14:36,,Male,61-70,Maharashtra,Solapur,Marathi,Saptashrungi Base,Ramkund LF Center,+91 9938622970,"red sari with gold border, wears thick glasses",Reunited,6.4,False,"Came by group bus, lost the group."
KMP-2027-00880,2027-08-19 09:35,Kamla Jadhav,Female,18-40,Maharashtra,Pune,Marathi,Mukti Dham,Nashik Road Center,+91 7088871617,"cream kurta, has a tilak on forehead",Reunited,9,False,Cross-checked at adjacent center.
KMP-2027-02381,2027-08-06 19:41,Bhaskar Bhosale,Male,61-70,Madhya Pradesh,Gwalior,Hindi,Tapovan,Trimbak Gate Center,+91 9455659370,"yellow blouse, silver anklets",Reunited,7.9,False,"Family frantic, last dip together."
KMP-2027-01594,2027-08-19 10:41,Gita Bhosale,Female,61-70,Madhya Pradesh,Indore,Hindi,Sita Gufa,Trimbak Gate Center,+91 8835324500,"grey sweater, hard of hearing",Reunited,7.5,False,
KMP-2027-01208,2027-09-02 17:06,,Female,18-40,Madhya Pradesh,Ujjain,Hindi,Dudhsagar Falls Road,Tapovan Center,+91 9422650558,"grey sweater, wears thick glasses",Reunited,5.4,False,Cross-checked at adjacent center.
KMP-2027-01847,2027-09-02 06:30,Ganpat Iyer,Male,61-70,Gujarat,Surat,Gujarati,Nashik Road Railway Station,Kushavarta Center,+91 9083076463,,Reunited,5.1,False,
KMP-2027-01841,2027-07-26 17:35,Lakshmi Kumar,Female,61-70,Gujarat,Rajkot,Gujarati,Sadhugram,Tapovan Center,+91 7366873923,"cream kurta, short grey hair",Reunited,7.9,False,Possible match flagged for review.
KMP-2027-02048,2027-09-11 11:07,,Female,61-70,Uttar Pradesh,Varanasi,Hindi,Trimbakeshwar Temple,Tapovan Center,,"cream kurta, short grey hair",Reunited,2,False,"Came by group bus, lost the group."
KMP-2027-00582,2027-09-11 13:19,Sopan Sharma,Male,71-80,Karnataka,Belagavi,Kannada,Panchavati,Ramkund LF Center,,"black shawl, walks with a cane",Unresolved,,False,Got separated in snan crowd.
KMP-2027-00329,2027-09-02 13:28,Parvati Kulkarni,Female,61-70,Maharashtra,Pune,Marathi,Ahilyadevi Holkar Bridge,CBS Help Center,+91 9468563017,"green saree, has a tilak on forehead",Reunited,3,False,Phone switched off.
KMP-2027-01536,2027-07-19 08:42,,Male,61-70,Maharashtra,Solapur,Marathi,CBS Bus Stand,Tapovan Center,+91 9817591471,"blue checked shirt, carries a cloth bag",Reunited,6.2,False,"Came by group bus, lost the group."
KMP-2027-00161,2027-09-02 11:01,Ganpat Patil,Male,41-60,Maharashtra,Nashik,Marathi,Trimbakeshwar Temple,Trimbak Gate Center,+91 8863612282,,Reunited,,True,Possible match flagged for review.
KMP-2027-02397,2027-08-09 23:40,,Female,18-40,Uttar Pradesh,Kanpur,Hindi,Ramkund,Nashik Road Center,+91 8871641720,,Reunited,3.3,False,Cross-checked at adjacent center.
KMP-2027-01769,2027-08-19 17:19,Indira Pawar,Female,18-40,Maharashtra,Pune,Marathi,Dudhsagar Falls Road,Ramkund LF Center,+91 9495236735,"maroon saree, limps on right leg",Reunited,4.8,False,Volunteer escorting to help desk.
KMP-2027-01213,2027-09-13 18:12,,Male,71-80,Maharashtra,Jalgaon,Marathi,Tapovan,Kushavarta Center,,"red sari with gold border, carries a cloth bag",Reunited,5.6,False,"Came by group bus, lost the group."
KMP-2027-02449,2027-08-19 12:54,Anil Sharma,Male,41-60,Maharashtra,Pune,Marathi,Ahilyadevi Holkar Bridge,Panchavati Center,+91 8895101869,"grey sweater, carries a cloth bag",Pending,,False,Got separated in snan crowd.
KMP-2027-01423,2027-08-20 02:43,Mahesh Patil,Male,61-70,Maharashtra,Aurangabad,Marathi,Trimbakeshwar Temple,Trimbak Gate Center,,,Reunited,4.9,False,Possible match flagged for review.
KMP-2027-00029,2027-07-30 00:22,,Male,71-80,Maharashtra,Nashik,Marathi,Tapovan,Tapovan Center,+91 7084077997,,Pending,,True,Possible match flagged for review.
KMP-2027-02394,2027-08-04 08:05,Sunil Sawant,Male,41-60,Gujarat,Surat,Gujarati,Saptashrungi Base,Trimbak Gate Center,+91 9874753467,"cream kurta, speaks little Hindi",Reunited,9.3,False,Volunteer escorting to help desk.
KMP-2027-01720,2027-08-04 11:58,Vitthal Sawant,Male,61-70,Madhya Pradesh,Ujjain,Hindi,CBS Bus Stand,Panchavati Center,+91 7361301748,"black shawl, has a tilak on forehead",Transferred to hospital,1.8,False,Possible match flagged for review.
KMP-2027-02295,2027-08-04 09:28,Rukmini Das,Female,61-70,Maharashtra,Thane,Marathi,Panchavati,CBS Help Center,+91 9478892572,,Reunited,4.8,False,
KMP-2027-02016,2027-08-19 13:47,Arun Kumar,Male,80+,Telangana,Warangal,Telugu,Sadhugram,Trimbak Gate Center,+91 9867135506,"white dhoti and kurta, speaks little Hindi",Reunited,3.6,False,Phone switched off.
KMP-2027-01950,2027-08-04 08:32,Parvati Sharma,Female,0-12,Maharashtra,Ahmednagar,Marathi,Panchavati,Trimbak Gate Center,+91 9042856213,"black shawl, silver anklets",Reunited,6.1,False,Possible match flagged for review.
KMP-2027-00371,2027-07-25 11:57,Radha More,Female,0-12,Maharashtra,Jalgaon,Marathi,Saptashrungi Base,Kushavarta Center,,"green saree, carries a cloth bag",Reunited,9,False,"Came by group bus, lost the group."
KMP-2027-00137,2027-09-11 05:00,Eknath More,Male,61-70,Uttar Pradesh,Varanasi,Hindi,Goda Ghat,CBS Help Center,,,Unresolved,,True,Possible match flagged for review.
KMP-2027-00983,2027-09-11 09:26,Anil Jadhav,Male,80+,Maharashtra,Pune,Marathi,Ahilyadevi Holkar Bridge,Nashik Road Center,,"green saree, has a tilak on forehead",Pending,,False,Announced on PA system.
KMP-2027-02264,2027-07-31 12:13,Sarla Bhosale,Female,61-70,Maharashtra,Pune,Marathi,Dudhsagar Falls Road,Trimbak Gate Center,+91 7059992183,"red sari with gold border, has a tilak on forehead",Reunited,5.8,False,Phone switched off.
KMP-2027-00089,2027-09-11 11:32,Mohan Das,Male,71-80,Karnataka,Belagavi,Kannada,Trimbakeshwar Temple,Sadhugram Center,+91 9438352638,"orange saree, speaks little Hindi",Unresolved,,True,Possible match flagged for review.
KMP-2027-00541,2027-07-16 01:41,,Male,41-60,Maharashtra,Jalgaon,Marathi,Ramkund,Trimbak Gate Center,+91 7386033517,"grey sweater, wears thick glasses",Reunited,2.5,False,"Family frantic, last dip together."
KMP-2027-00446,2027-08-03 10:58,Ganpat Jadhav,Male,41-60,Karnataka,Hubballi,Kannada,Kalaram Temple,Sadhugram Center,,"red sari with gold border, silver anklets",Pending,,False,Possible match flagged for review.
KMP-2027-01331,2027-09-02 08:05,Shanta Deshmukh,Female,0-12,Tamil Nadu,Madurai,Tamil,Ahilyadevi Holkar Bridge,Sadhugram Center,+91 9825307536,"grey sweater, hard of hearing",Reunited,8,False,"Family frantic, last dip together."
KMP-2027-01780,2027-09-12 04:46,Mangala Kulkarni,Female,80+,Madhya Pradesh,Indore,Hindi,Ahilyadevi Holkar Bridge,Tapovan Center,+91 9989338980,"cream kurta, has a tilak on forehead",Reunited,3.1,False,
KMP-2027-01773,2027-09-02 14:32,Tukaram Pawar,Male,18-40,Maharashtra,Thane,Marathi,Dudhsagar Falls Road,Tapovan Center,,,Reunited,7.8,False,"Came by group bus, lost the group."
KMP-2027-01298,2027-09-11 14:24,Vitthal Sharma,Male,61-70,Maharashtra,Nashik,Marathi,Kalaram Temple,Panchavati Center,+91 9949045306,"maroon saree, short grey hair",Reunited,9,False,Volunteer escorting to help desk.
KMP-2027-01643,2027-08-07 19:02,Sai Gaikwad,Male,41-60,Maharashtra,Jalgaon,Marathi,Tapovan,Trimbak Gate Center,+91 8868950974,"blue checked shirt, tulsi mala around neck",Reunited,3.6,False,Phone switched off.
KMP-2027-01136,2027-09-11 17:11,Vimal Jadhav,Female,61-70,Maharashtra,Nagpur,Marathi,Tapovan,Kushavarta Center,+91 9422518547,"yellow blouse, hard of hearing",Pending,,False,"Family frantic, last dip together."
KMP-2027-02259,2027-08-05 04:47,Kamla Sawant,Female,71-80,Maharashtra,Nagpur,Marathi,Sita Gufa,Tapovan Center,+91 7397741443,"green saree, silver anklets",Reunited,9.3,False,Cross-checked at adjacent center.
KMP-2027-02490,2027-08-16 22:08,Radha Kale,Female,61-70,Maharashtra,Thane,Marathi,Kushavarta Kund,Trimbak Gate Center,+91 9056935178,"maroon saree, tulsi mala around neck",Reunited,1.8,False,Possible match flagged for review.
KMP-2027-00117,2027-08-08 17:40,Sai Yadav,Male,61-70,Uttar Pradesh,Kanpur,Hindi,Mukti Dham,Ramkund LF Center,+91 7038573948,"maroon saree, walks with a cane",Pending,,True,Possible match flagged for review.
KMP-2027-01411,2027-09-02 11:22,Sopan Gaikwad,Male,41-60,Maharashtra,Nashik,Marathi,Nashik Road Railway Station,Panchavati Center,+91 9811743586,"white dhoti and kurta, tulsi mala around neck",Reunited,1,False,Announced on PA system.
KMP-2027-00935,2027-08-04 06:40,Sai Kale,Male,61-70,Maharashtra,Solapur,Marathi,Dudhsagar Falls Road,Nashik Road Center,+91 9034767439,"cream kurta, walks with a cane",Reunited,1.2,False,Phone switched off.
KMP-2027-00156,2027-08-29 13:20,Mahesh Kale,Male,13-17,Maharashtra,Ahmednagar,Marathi,CBS Bus Stand,Ramkund LF Center,+91 9010409840,,Transferred to hospital,6,True,Logged at second center; same person suspected.
KMP-2027-00124,2027-09-11 09:04,,Female,13-17,Maharashtra,Thane,Marathi,Sita Gufa,CBS Help Center,+91 9861724241,,Pending,,True,Logged at second center; same person suspected.
KMP-2027-01441,2027-09-11 07:33,Sneha Sawant,Female,41-60,Maharashtra,Nashik,Marathi,Goda Ghat,Tapovan Center,+91 9885383779,,Reunited,1.2,False,Got separated in snan crowd.
KMP-2027-02166,2027-09-02 11:00,,Female,41-60,Maharashtra,Pune,Marathi,Trimbakeshwar Temple,Ramkund LF Center,+91 8885604649,,Reunited,6,False,"Family frantic, last dip together."
KMP-2027-00932,2027-08-19 03:50,,Female,61-70,Maharashtra,Pune,Marathi,Sita Gufa,Nashik Road Center,,"orange saree, speaks little Hindi",Reunited,7.8,False,Announced on PA system.
KMP-2027-00857,2027-08-10 04:26,Aarav Kulkarni,Male,61-70,Maharashtra,Aurangabad,Marathi,Saptashrungi Base,CBS Help Center,,"orange saree, tulsi mala around neck",Reunited,0.8,False,Cross-checked at adjacent center.
KMP-2027-02482,2027-09-02 14:16,Savita Das,Female,41-60,Maharashtra,Nashik,Marathi,Gangapur Road Ghat,Kushavarta Center,,"yellow blouse, tulsi mala around neck",Reunited,0.7,False,"Family frantic, last dip together."
KMP-2027-01071,2027-08-04 11:08,Sarla Shinde,Female,71-80,Maharashtra,Thane,Marathi,Trimbakeshwar Temple,Nashik Road Center,+91 7395691109,"blue checked shirt, carries a cloth bag",Reunited,8.1,False,Volunteer escorting to help desk.
KMP-2027-01629,2027-08-04 07:49,Anil Joshi,Male,18-40,Madhya Pradesh,Bhopal,Hindi,CBS Bus Stand,CBS Help Center,,"red sari with gold border, hard of hearing",Reunited,4.9,False,Announced on PA system.
KMP-2027-01931,2027-08-26 03:39,Dattatray Pawar,Male,61-70,Tamil Nadu,Madurai,Tamil,Kushavarta Kund,CBS Help Center,+91 7094086390,"orange saree, hard of hearing",Reunited,7.8,False,Volunteer escorting to help desk.
KMP-2027-01718,2027-09-04 07:12,Sushila Chavan,Female,80+,Uttar Pradesh,Prayagraj,Hindi,Tapovan,Sadhugram Center,+91 9822757868,"red sari with gold border, wears thick glasses",Reunited,2.2,False,Phone switched off.
KMP-2027-01937,2027-08-25 04:02,Ganpat More,Male,18-40,Maharashtra,Aurangabad,Marathi,Ahilyadevi Holkar Bridge,Sadhugram Center,+91 9457705091,"orange saree, speaks little Hindi",Pending,,False,Cross-checked at adjacent center.
KMP-2027-01026,2027-08-11 05:58,Namdev Shinde,Male,61-70,Uttar Pradesh,Prayagraj,Hindi,Kushavarta Kund,Ramkund LF Center,+91 9487766312,,Pending,,False,Got separated in snan crowd.
KMP-2027-02169,2027-08-19 09:12,Meena Das,Female,61-70,Maharashtra,Ahmednagar,Marathi,Saptashrungi Base,Panchavati Center,+91 7018390769,"blue checked shirt, walks with a cane",Unresolved,,False,Phone switched off.
KMP-2027-01281,2027-07-28 17:45,Ganpat Iyer,Male,18-40,Maharashtra,Nashik,Marathi,Saptashrungi Base,CBS Help Center,+91 7347201370,"grey sweater, limps on right leg",Reunited,2.1,False,Volunteer escorting to help desk.
KMP-2027-00739,2027-09-12 02:52,Kishan Verma,Male,18-40,Gujarat,Ahmedabad,Gujarati,Panchavati,Nashik Road Center,+91 9076935525,"black shawl, speaks little Hindi",Reunited,5.7,False,Volunteer escorting to help desk.
KMP-2027-00877,2027-09-02 16:40,Vimal Sawant,Female,80+,Maharashtra,Solapur,Marathi,Sita Gufa,Panchavati Center,+91 9943540903,"yellow blouse, wears thick glasses",Reunited,0.4,False,"Came by group bus, lost the group."
KMP-2027-00574,2027-08-19 16:58,,Female,41-60,Maharashtra,Aurangabad,Marathi,Kalaram Temple,Nashik Road Center,+91 7378090794,"yellow blouse, wears thick glasses",Reunited,6,False,"Family frantic, last dip together."
KMP-2027-02160,2027-08-19 05:00,Radha Shinde,Female,41-60,Maharashtra,Nagpur,Marathi,Saptashrungi Base,Kushavarta Center,,,Reunited,9.3,False,Announced on PA system.
KMP-2027-00610,2027-09-02 12:52,Kamla Jadhav,Unknown,61-70,Telangana,Hyderabad,Telugu,Gangapur Road Ghat,Tapovan Center,,"cream kurta, speaks little Hindi",Reunited,0.8,False,Phone switched off.
KMP-2027-02308,2027-08-19 15:48,Ganpat Pawar,Male,71-80,Karnataka,Bengaluru,Kannada,Mukti Dham,Sadhugram Center,,"cream kurta, walks with a cane",Reunited,4.3,False,Announced on PA system.
KMP-2027-00632,2027-09-11 17:00,,Female,13-17,Maharashtra,Thane,Marathi,Kushavarta Kund,CBS Help Center,+91 9487471140,"black shawl, short grey hair",Reunited,2,False,
KMP-2027-01260,2027-09-05 18:36,Shanta Kumar,Unknown,71-80,Maharashtra,Aurangabad,Marathi,Sita Gufa,Panchavati Center,+91 8881742405,"green saree, carries a cloth bag",Reunited,9.3,False,Volunteer escorting to help desk.
KMP-2027-00128,2027-08-22 19:22,Asha Reddy,Female,0-12,Gujarat,Rajkot,Gujarati,Sita Gufa,Kushavarta Center,,,Reunited,4.9,True,Logged at second center; same person suspected.
KMP-2027-01464,2027-09-02 11:30,Vimal Joshi,Female,41-60,Maharashtra,Pune,Marathi,Nashik Road Railway Station,Nashik Road Center,+91 9830568583,"cream kurta, walks with a cane",Reunited,1,False,Got separated in snan crowd.
KMP-2027-01143,2027-08-04 15:24,,Male,71-80,Maharashtra,Thane,Marathi,Ahilyadevi Holkar Bridge,Tapovan Center,+91 9417184110,,Reunited,1.4,False,"Came by group bus, lost the group."
KMP-2027-00835,2027-08-19 14:56,Lakshmi Iyer,Female,71-80,Maharashtra,Pune,Marathi,Mukti Dham,Nashik Road Center,+91 7318943770,"blue checked shirt, carries a cloth bag",Reunited,7.7,False,"Came by group bus, lost the group."
KMP-2027-01070,2027-09-05 15:31,Sushila Patil,Female,61-70,Maharashtra,Jalgaon,Marathi,Trimbakeshwar Temple,Nashik Road Center,,"black shawl, carries a cloth bag",Reunited,1,False,Volunteer escorting to help desk.
KMP-2027-00144,2027-09-11 13:21,Indira Shinde,Female,41-60,Madhya Pradesh,Bhopal,Hindi,Dudhsagar Falls Road,Ramkund LF Center,+91 9953646074,,Transferred to hospital,1.7,True,Logged at second center; same person suspected.
KMP-2027-01359,2027-08-19 12:59,Indira Jadhav,Female,18-40,Uttar Pradesh,Varanasi,Hindi,CBS Bus Stand,Nashik Road Center,+91 9976883968,"yellow blouse, speaks little Hindi",Reunited,8.3,False,Phone switched off.
KMP-2027-00015,2027-09-02 06:14,Sneha Das,Female,41-60,Uttar Pradesh,Prayagraj,Hindi,Kushavarta Kund,Sadhugram Center,,"maroon saree, short grey hair",Pending,,True,Possible match flagged for review.
KMP-2027-01546,2027-07-26 20:47,Bhaskar Verma,Male,80+,Maharashtra,Ahmednagar,Marathi,Kalaram Temple,Sadhugram Center,+91 7055954118,,Reunited,5.5,False,Phone switched off.
KMP-2027-00151,2027-08-04 17:13,Sunil Gaikwad,Male,61-70,Madhya Pradesh,Bhopal,Hindi,Saptashrungi Base,Ramkund LF Center,+91 9070401015,"orange saree, speaks little Hindi",Pending,,True,Possible match flagged for review.
KMP-2027-01715,2027-09-11 05:57,Eknath Reddy,Unknown,61-70,Maharashtra,Nagpur,Marathi,Sita Gufa,Ramkund LF Center,+91 9920014244,,Reunited,7.5,False,Volunteer escorting to help desk.
KMP-2027-02388,2027-08-05 08:29,Kishan Das,Male,0-12,Madhya Pradesh,Ujjain,Hindi,Kalaram Temple,Trimbak Gate Center,+91 8896217088,,Reunited,1.1,False,Possible match flagged for review.
KMP-2027-00545,2027-09-01 00:37,Dattatray Deshmukh,Male,61-70,Maharashtra,Nagpur,Marathi,Kalaram Temple,Tapovan Center,,"blue checked shirt, short grey hair",Reunited,8,False,Got separated in snan crowd.
KMP-2027-01581,2027-09-03 02:42,Arun Iyer,Unknown,80+,Maharashtra,Aurangabad,Marathi,Dudhsagar Falls Road,Trimbak Gate Center,+91 8879442260,,Reunited,2.3,False,
KMP-2027-01939,2027-08-30 18:47,Dattatray Kale,Male,41-60,Maharashtra,Nashik,Marathi,CBS Bus Stand,CBS Help Center,+91 9973126499,"black shawl, wears thick glasses",Reunited,6.6,False,"Came by group bus, lost the group."
KMP-2027-00885,2027-09-02 11:45,Sarla Iyer,Female,71-80,Madhya Pradesh,Indore,Hindi,Ahilyadevi Holkar Bridge,Nashik Road Center,,"blue checked shirt, hard of hearing",Reunited,2.3,False,"Came by group bus, lost the group."
KMP-2027-01639,2027-08-30 12:35,Ganpat Kale,Male,61-70,Tamil Nadu,Chennai,Tamil,Kushavarta Kund,Sadhugram Center,+91 9843099287,"maroon saree, has a tilak on forehead",Unresolved,,False,"Family frantic, last dip together."
KMP-2027-02360,2027-09-02 12:50,Shanta Das,Female,41-60,Maharashtra,Nashik,Marathi,Mukti Dham,Tapovan Center,+91 9816281640,"cream kurta, wears thick glasses",Reunited,3.7,False,
KMP-2027-01117,2027-08-04 09:32,Radha Sawant,Female,0-12,Rajasthan,Jaipur,Hindi,Sadhugram,Ramkund LF Center,,"yellow blouse, limps on right leg",Pending,,False,Volunteer escorting to help desk.
